Date,Service description,Service ID,Cost ($),Savings programs ($),Other savings ($),Unrounded subtotal ($),Subtotal ($)
2025-12-06,Cloud Run,152E-C115-5142,0.32,0.00,-0.32,0.000000,0.00
2025-12-05,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-05,Cloud Run,152E-C115-5142,0.32,0.00,-0.32,0.000000,0.00
2025-12-04,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-04,Cloud Run,152E-C115-5142,0.32,0.00,-0.32,0.000000,0.00
2025-12-03,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-03,Cloud Run,152E-C115-5142,0.32,0.00,-0.32,0.000000,0.00
2025-12-02,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-02,Cloud Run,152E-C115-5142,0.32,0.00,-0.32,0.000000,0.00
2025-12-01,Cloud Storage,95FF-2EF5-5EA1,0.00,0.00,0.00,0.000002,0.00
2025-12-01,Cloud Run,152E-C115-5142,0.32,0.00,-0.32,0.000000,0.00
,,,,Subtotal,47.355304,47.36
,,,,Tax,0.000000,0.00
,,,,Filtered total,47.355304,47.36
